☑️,ID,Parent ID,Уровень,Путь в иерархии,Название категории,URL,Товаров,В наличии,SEO статус,AI статус,Обновлено,Админка
false,21695101,14789435,1,Каталог > Бинокли по брендам > Бинокли Leupold > Leupold Acadia,  └─ Leupold Acadia,/collection/binokli-leupold-acadia,7,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695101
false,21695112,14789435,1,Каталог > Бинокли по брендам > Бинокли Leupold > Leupold Cascades,  └─ Leupold Cascades,/collection/binokli-leupold-cascades,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695112
false,18030268,26065675,2,Каталог > Бинокли по брендам > Бинокли Hama,    └─ Бинокли Hama,/collection/hama,6,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18030268
false,18036602,26065675,2,Каталог > Бинокли по брендам > Бинокли Galileo,    └─ Бинокли Galileo,/collection/galileo,8,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18036602
false,18064340,26065675,2,Каталог > Бинокли по брендам > Бинокли Leica,    └─ Бинокли Leica,/collection/leica,48,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18064340
false,21695186,18064340,1,Каталог > Бинокли по брендам > Бинокли Leica > Бинокли с дальномером Leica,  └─ Бинокли с дальномером Leica,/collection/binokli-s-dalnomerom-leica,11,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695186
false,21695154,18064340,1,Каталог > Бинокли по брендам > Бинокли Leica > Leica Trinovid,  └─ Leica Trinovid,/collection/binokli-leica-trinovid,5,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695154
false,21695175,18064340,1,Каталог > Бинокли по брендам > Бинокли Leica > Leica Geovid,  └─ Leica Geovid,/collection/binokli-leica-geovid,10,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695175
false,21695193,18064340,1,Каталог > Бинокли по брендам > Бинокли Leica > Leica Ultravid,  └─ Leica Ultravid,/collection/binokli-leica-ultravid,24,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695193
false,21695215,18064340,1,Каталог > Бинокли по брендам > Бинокли Leica > Leica Silverline,  └─ Leica Silverline,/collection/binokli-leica-silverline,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695215
